DateTime,P#,L#,LotCount,PartsMade,Reject1,Reject2,Reject3,Reject4,Reject5,Reject6,Reject7,Reject8,Reject9,Reject10,Reject11,Reject12,Reject13,Reject14,Reject15,Reject16,Reject17,Reject18
12/5/2022,123456,lotno,4797,227,0,0,0,0,0,3,0,0,0,3,0,27,0,0,0,0,0,0
12/5/2022,123456,lotno,4997,200,0,0,0,5,5,2,0,0,1,1,0,23,2,0,0,0,0,2
12/5/2022,123456,lotno,5168,171,0,0,0,1,0,0,0,0,1,5,0,41,0,0,0,0,0,1
12/5/2022,123456,lotno,5355,187,0,0,0,0,1,1,0,0,1,4,0,57,0,0,0,0,0,0
12/5/2022,123456,lotno,5529,174,1,0,0,4,4,1,0,0,1,3,0,43,1,0,0,0,0,0
12/5/2022,123456,lotno,5749,220,0,0,0,0,0,2,0,1,1,2,0,54,0,1,0,0,0,0
12/6/2022,123456,lotno,5974,225,0,0,0,0,0,1,0,0,0,2,0,59,0,1,0,0,0,0
12/6/2022,123456,lotno,6191,217,0,0,0,2,3,0,0,0,0,6,0,42,1,0,0,0,2,0
12/6/2022,123456,lotno,6402,211,2,0,0,0,0,0,0,0,0,4,0,73,0,0,0,0,0,0
12/6/2022,123456,lotno,6517,115,0,0,1,0,0,0,0,0,1,2,0,36,0,0,0,0,0,0
12/6/2022,123456,lotno,6517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/2022,123456,lotno,6517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/2022,123456,lotno,6517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/2022,123456,lotno,6546,29,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
12/6/2022,123456,lotno,6741,195,0,0,0,0,0,7,0,0,0,5,0,65,0,1,0,0,0,0
12/6/2022,123456,lotno,6861,120,2,3,6,0,0,2,0,0,0,0,0,54,0,1,0,0,0,0
12/6/2022,123456,lotno,6992,131,4,0,1,1,1,0,0,1,0,5,0,37,0,1,0,0,5,0
12/6/2022,123456,lotno,7178,186,3,0,0,1,2,0,0,0,0,3,0,74,0,0,0,0,4,0
12/6/2022,123456,lotno,7391,213,4,0,0,0,0,0,0,0,1,8,0,90,0,0,0,0,0,0
12/6/2022,123456,lotno,7616,225,0,0,0,0,0,0,0,0,0,3,0,61,0,0,0,0,0,0
12/6/2022,123456,lotno,7823,207,4,0,0,1,0,0,0,0,0,4,0,56,1,1,0,0,0,0
12/6/2022,123456,lotno,8043,220,4,0,0,0,0,0,0,0,0,3,0,68,0,0,0,0,9,0
12/6/2022,123456,lotno,8264,221,0,0,0,0,0,1,0,0,0,2,0,58,0,1,0,0,0,0
12/6/2022,123456,lotno,8458,194,1,0,0,2,2,0,0,1,0,2,0,55,0,0,0,0,0,0
12/6/2022,123456,lotno,8684,226,0,0,0,1,0,0,0,0,0,1,0,56,0,1,0,0,0,0
12/6/2022,123456,lotno,8904,220,4,0,0,1,0,0,0,1,0,0,0,56,0,0,0,0,0,0
12/6/2022,123456,lotno,9093,189,3,0,0,0,1,1,0,0,0,3,0,69,1,0,0,0,0,0
12/6/2022,123456,lotno,9249,156,1,1,1,3,3,0,0,0,0,2,0,45,1,0,0,0,0,0
12/6/2022,123456,lotno,9468,219,7,0,0,0,0,1,0,0,0,1,0,31,0,0,0,0,0,0
12/6/2022,123456,lotno,9677,209,10,0,0,0,2,0,0,0,0,2,0,31,0,0,0,0,0,0
12/7/2022,123456,lotno,9889,212,4,1,0,0,1,1,0,0,0,0,0,65,0,0,0,0,0,0
12/7/2022,123456,lotno,9926,37,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
12/7/2022,123456,lotno,9926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,9926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,9926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,9926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,9926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,9936,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,98,3,0,1,0,0,0,0,0,0,0,0,44,0,0,0,0,0,2
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
